unique_id,track_id,veh_type,traveled_distance,avg_speed
20181024_d1_0830_0900_318,319,Car,356.96,22.310157
20181024_d1_0830_0900_319,320,Car,363.46,11.916745
20181024_d1_0830_0900_320,321,Car,193.89,4.096298
20181024_d1_0830_0900_321,322,Car,326.69,23.242532
20181024_d1_0830_0900_322,323,Car,349.45,13.763758
20181024_d1_0830_0900_323,324,Motorcycle,457.44,39.586283
20181024_d1_0830_0900_324,325,Taxi,67.43,11.559601
20181024_d1_0830_0900_325,326,Car,212.27,11.337956
20181024_d1_0830_0900_326,327,Motorcycle,170.33,21.440484
20181024_d1_0830_0900_327,328,Car,51.28,20.980018
20181024_d1_0830_0900_328,329,Car,479.19,35.939434
20181024_d1_0830_0900_329,330,Car,478.83,37.968607
20181024_d1_0830_0900_330,331,Motorcycle,207.14,13.221623
20181024_d1_0830_0900_331,332,Taxi,94.01,8.767701
20181024_d1_0830_0900_332,333,Car,479.9,40.365426
20181024_d1_0830_0900_333,334,Taxi,329.42,19.76544
20181024_d1_0830_0900_334,335,Car,208.84,16.415616
20181024_d1_0830_0900_335,336,Taxi,492.08,14.059326
20181024_d1_0830_0900_336,337,Motorcycle,120.68,20.493342
20181024_d1_0830_0900_337,338,Car,53.81,18.627579
20181024_d1_0830_0900_338,339,Motorcycle,188.12,38.479078
